year;state;month;number;date
1998;ARNAVUTKOY;OCAK;0;1.01.1998
1999;ARNAVUTKOY;OCAK;0;1.01.1999
2000;ARNAVUTKOY;OCAK;0;1.01.2000
2001;ARNAVUTKOY;OCAK;0;1.01.2001
2002;ARNAVUTKOY;OCAK;0;1.01.2002
2004;ARNAVUTKOY;OCAK;0;1.01.2004
2007;ARNAVUTKOY;OCAK;0;1.01.2007
2008;ARNAVUTKOY;OCAK;0;1.01.2008
2009;ARNAVUTKOY;OCAK;0;1.01.2009
2011;ARNAVUTKOY;OCAK;0;1.01.2011
2012;ARNAVUTKOY;OCAK;0;1.01.2012
2013;ARNAVUTKOY;OCAK;0;1.01.2013
2014;ARNAVUTKOY;OCAK;0;1.01.2014
2017;ARNAVUTKOY;OCAK;0;1.01.2017
1998;ARNAVUTKOY;SUBAT;0;1.01.1998
1999;ARNAVUTKOY;SUBAT;0;1.01.1999
2000;ARNAVUTKOY;SUBAT;0;1.01.2000
2001;ARNAVUTKOY;SUBAT;0;1.01.2001
2003;ARNAVUTKOY;SUBAT;0;1.01.2003
2005;ARNAVUTKOY;SUBAT;0;1.01.2005
2006;ARNAVUTKOY;SUBAT;0;1.01.2006
2008;ARNAVUTKOY;SUBAT;0;1.01.2008
2010;ARNAVUTKOY;SUBAT;0;1.01.2010
2011;ARNAVUTKOY;SUBAT;0;1.01.2011
2012;ARNAVUTKOY;SUBAT;0;1.01.2012
2013;ARNAVUTKOY;SUBAT;0;1.01.2013
2014;ARNAVUTKOY;SUBAT;0;1.01.2014
1998;ARNAVUTKOY;MART;0;1.01.1998
1999;ARNAVUTKOY;MART;0;1.01.1999
2001;ARNAVUTKOY;MART;0;1.01.2001
2002;ARNAVUTKOY;MART;0;1.01.2002
2003;ARNAVUTKOY;MART;0;1.01.2003
2004;ARNAVUTKOY;MART;0;1.01.2004
2006;ARNAVUTKOY;MART;0;1.01.2006
2008;ARNAVUTKOY;MART;0;1.01.2008
2010;ARNAVUTKOY;MART;0;1.01.2010
2011;ARNAVUTKOY;MART;0;1.01.2011
2016;ARNAVUTKOY;MART;0;1.01.2016
2017;ARNAVUTKOY;MART;0;1.01.2017
1998;ARNAVUTKOY;NISAN;0;1.01.1998
1999;ARNAVUTKOY;NISAN;0;1.01.1999
2001;ARNAVUTKOY;NISAN;0;1.01.2001
2002;ARNAVUTKOY;NISAN;0;1.01.2002
2006;ARNAVUTKOY;NISAN;0;1.01.2006
2007;ARNAVUTKOY;NISAN;0;1.01.2007
2008;ARNAVUTKOY;NISAN;0;1.01.2008
2009;ARNAVUTKOY;NISAN;0;1.01.2009
2016;ARNAVUTKOY;NISAN;0;1.01.2016
1998;ARNAVUTKOY;MAYIS;0;1.01.1998
1999;ARNAVUTKOY;MAYIS;0;1.01.1999
2001;ARNAVUTKOY;MAYIS;0;1.01.2001
2002;ARNAVUTKOY;MAYIS;0;1.01.2002
2008;ARNAVUTKOY;MAYIS;0;1.01.2008
1999;ARNAVUTKOY;HAZIRAN;0;1.01.1999
2002;ARNAVUTKOY;HAZIRAN;0;1.01.2002
2003;ARNAVUTKOY;HAZIRAN;0;1.01.2003
2008;ARNAVUTKOY;HAZIRAN;0;1.01.2008
2009;ARNAVUTKOY;HAZIRAN;0;1.01.2009
1998;ARNAVUTKOY;KASIM;0;1.01.1998
1999;ARNAVUTKOY;KASIM;0;1.01.1999
2000;ARNAVUTKOY;KASIM;0;1.01.2000
1999;ARNAVUTKOY;ARALIK;0;1.01.1999
2000;ARNAVUTKOY;ARALIK;0;1.01.2000
2001;ARNAVUTKOY;ARALIK;0;1.01.2001
2006;ARNAVUTKOY;ARALIK;0;1.01.2006
2007;ARNAVUTKOY;ARALIK;0;1.01.2007
2008;ARNAVUTKOY;ARALIK;0;1.01.2008
2010;ARNAVUTKOY;ARALIK;0;1.01.2010
1998;BAGCILAR;OCAK;0;1.01.1998
1998;BAGCILAR;SUBAT;0;1.01.1998
1998;BAGCILAR;MART;0;1.01.1998
2001;BAGCILAR;MART;0;1.01.2001
1998;BAGCILAR;NISAN;0;1.01.1998
2001;BAGCILAR;NISAN;0;1.01.2001
1998;BAGCILAR;MAYIS;0;1.01.1998
2005;BAGCILAR;MAYIS;0;1.01.2005
2006;BAGCILAR;MAYIS;0;1.01.2006
2007;BAGCILAR;MAYIS;0;1.01.2007
2008;BAGCILAR;MAYIS;0;1.01.2008
2009;BAGCILAR;MAYIS;0;1.01.2009
2010;BAGCILAR;MAYIS;0;1.01.2010
2011;BAGCILAR;MAYIS;0;1.01.2011
1998;BAGCILAR;HAZIRAN;0;1.01.1998
1999;BAGCILAR;HAZIRAN;0;1.01.1999
2000;BAGCILAR;HAZIRAN;0;1.01.2000
2002;BAGCILAR;HAZIRAN;0;1.01.2002
2003;BAGCILAR;HAZIRAN;0;1.01.2003
2004;BAGCILAR;HAZIRAN;0;1.01.2004
2005;BAGCILAR;HAZIRAN;0;1.01.2005
2006;BAGCILAR;HAZIRAN;0;1.01.2006
2007;BAGCILAR;HAZIRAN;0;1.01.2007
2008;BAGCILAR;HAZIRAN;0;1.01.2008
2009;BAGCILAR;HAZIRAN;0;1.01.2009
2010;BAGCILAR;HAZIRAN;0;1.01.2010
1998;BAGCILAR;TEMMUZ;0;1.01.1998
1999;BAGCILAR;TEMMUZ;0;1.01.1999
2000;BAGCILAR;TEMMUZ;0;1.01.2000
2001;BAGCILAR;TEMMUZ;0;1.01.2001
2003;BAGCILAR;TEMMUZ;0;1.01.2003
2004;BAGCILAR;TEMMUZ;0;1.01.2004
2005;BAGCILAR;TEMMUZ;0;1.01.2005
2006;BAGCILAR;TEMMUZ;0;1.01.2006
2007;BAGCILAR;TEMMUZ;0;1.01.2007
2008;BAGCILAR;TEMMUZ;0;1.01.2008
2009;BAGCILAR;TEMMUZ;0;1.01.2009
2011;BAGCILAR;TEMMUZ;0;1.01.2011
2012;BAGCILAR;TEMMUZ;0;1.01.2012
2013;BAGCILAR;TEMMUZ;0;1.01.2013
2015;BAGCILAR;TEMMUZ;0;1.01.2015
2017;BAGCILAR;TEMMUZ;0;1.01.2017
2009;BAGCILAR;AGUSTOS;0;1.01.2009
2012;BAGCILAR;AGUSTOS;0;1.01.2012
2013;BAGCILAR;AGUSTOS;0;1.01.2013
1998;BESIKTAS;OCAK;0;1.01.1998
1999;BESIKTAS;OCAK;0;1.01.1999
2001;BESIKTAS;OCAK;0;1.01.2001
2007;BESIKTAS;OCAK;0;1.01.2007
2011;BESIKTAS;OCAK;0;1.01.2011
1998;BESIKTAS;SUBAT;0;1.01.1998
2000;BESIKTAS;SUBAT;0;1.01.2000
2001;BESIKTAS;SUBAT;0;1.01.2001
2003;BESIKTAS;SUBAT;0;1.01.2003
2007;BESIKTAS;SUBAT;0;1.01.2007
2008;BESIKTAS;SUBAT;0;1.01.2008
2009;BESIKTAS;SUBAT;0;1.01.2009
2010;BESIKTAS;SUBAT;0;1.01.2010
2013;BESIKTAS;SUBAT;0;1.01.2013
2017;BESIKTAS;SUBAT;0;1.01.2017
1998;BESIKTAS;MART;0;1.01.1998
2000;BESIKTAS;MART;0;1.01.2000
2001;BESIKTAS;MART;0;1.01.2001
2002;BESIKTAS;MART;0;1.01.2002
2004;BESIKTAS;MART;0;1.01.2004
2005;BESIKTAS;MART;0;1.01.2005
2006;BESIKTAS;MART;0;1.01.2006
2007;BESIKTAS;MART;0;1.01.2007
2011;BESIKTAS;MART;0;1.01.2011
2013;BESIKTAS;MART;0;1.01.2013
2017;BESIKTAS;MART;0;1.01.2017
1998;BESIKTAS;NISAN;0;1.01.1998
1999;BESIKTAS;NISAN;0;1.01.1999
2000;BESIKTAS;NISAN;0;1.01.2000
2001;BESIKTAS;NISAN;0;1.01.2001
2002;BESIKTAS;NISAN;0;1.01.2002
2004;BESIKTAS;NISAN;0;1.01.2004
2005;BESIKTAS;NISAN;0;1.01.2005
2006;BESIKTAS;NISAN;0;1.01.2006
2007;BESIKTAS;NISAN;0;1.01.2007
2009;BESIKTAS;NISAN;0;1.01.2009
2011;BESIKTAS;NISAN;0;1.01.2011
2014;BESIKTAS;NISAN;0;1.01.2014
2015;BESIKTAS;NISAN;0;1.01.2015
2016;BESIKTAS;NISAN;0;1.01.2016
1998;BESIKTAS;MAYIS;0;1.01.1998
1999;BESIKTAS;MAYIS;0;1.01.1999
2000;BESIKTAS;MAYIS;0;1.01.2000
2001;BESIKTAS;MAYIS;0;1.01.2001
2003;BESIKTAS;MAYIS;0;1.01.2003
2004;BESIKTAS;MAYIS;0;1.01.2004
2005;BESIKTAS;MAYIS;0;1.01.2005
2006;BESIKTAS;MAYIS;0;1.01.2006
2007;BESIKTAS;MAYIS;0;1.01.2007
2008;BESIKTAS;MAYIS;0;1.01.2008
2013;BESIKTAS;MAYIS;0;1.01.2013
2014;BESIKTAS;MAYIS;0;1.01.2014
2015;BESIKTAS;MAYIS;0;1.01.2015
1998;BESIKTAS;HAZIRAN;0;1.01.1998
2000;BESIKTAS;HAZIRAN;0;1.01.2000
2001;BESIKTAS;HAZIRAN;0;1.01.2001
2002;BESIKTAS;HAZIRAN;0;1.01.2002
2003;BESIKTAS;HAZIRAN;0;1.01.2003
2006;BESIKTAS;HAZIRAN;0;1.01.2006
2007;BESIKTAS;HAZIRAN;0;1.01.2007
2008;BESIKTAS;HAZIRAN;0;1.01.2008
2010;BESIKTAS;HAZIRAN;0;1.01.2010
2011;BESIKTAS;HAZIRAN;0;1.01.2011
2014;BESIKTAS;HAZIRAN;0;1.01.2014
1998;BESIKTAS;TEMMUZ;0;1.01.1998
1999;BESIKTAS;TEMMUZ;0;1.01.1999
2000;BESIKTAS;TEMMUZ;0;1.01.2000
2003;BESIKTAS;TEMMUZ;0;1.01.2003
2005;BESIKTAS;TEMMUZ;0;1.01.2005
2006;BESIKTAS;TEMMUZ;0;1.01.2006
2007;BESIKTAS;TEMMUZ;0;1.01.2007
2008;BESIKTAS;TEMMUZ;0;1.01.2008
1999;BESIKTAS;AGUSTOS;0;1.01.1999
1998;BEYOGLU;OCAK;0;1.01.1998
1998;BEYOGLU;SUBAT;0;1.01.1998
1998;BEYOGLU;MART;0;1.01.1998
1998;BEYOGLU;NISAN;0;1.01.1998
2007;BEYOGLU;NISAN;0;1.01.2007
1998;BEYOGLU;MAYIS;0;1.01.1998
1999;BEYOGLU;MAYIS;0;1.01.1999
2001;BEYOGLU;MAYIS;0;1.01.2001
2004;BEYOGLU;MAYIS;0;1.01.2004
2007;BEYOGLU;MAYIS;0;1.01.2007
2008;BEYOGLU;ARALIK;0;1.01.2008
1998;ESENYURT;OCAK;0;1.01.1998
1998;ESENYURT;SUBAT;0;1.01.1998
1998;ESENYURT;MART;0;1.01.1998
1998;ESENYURT;NISAN;0;1.01.1998
1998;ESENYURT;MAYIS;0;1.01.1998
1998;KADIKOY;OCAK;0;1.01.1998
1998;KADIKOY;SUBAT;0;1.01.1998
2001;KADIKOY;SUBAT;0;1.01.2001
1998;KADIKOY;MART;0;1.01.1998
2001;KADIKOY;MART;0;1.01.2001
1998;KADIKOY;NISAN;0;1.01.1998
2008;KADIKOY;NISAN;0;1.01.2008
2009;KADIKOY;NISAN;0;1.01.2009
1998;KADIKOY;MAYIS;0;1.01.1998
2003;KADIKOY;MAYIS;0;1.01.2003
2006;KADIKOY;MAYIS;0;1.01.2006
2007;KADIKOY;MAYIS;0;1.01.2007
2008;KADIKOY;MAYIS;0;1.01.2008
2009;KADIKOY;MAYIS;0;1.01.2009
2011;KADIKOY;MAYIS;0;1.01.2011
2006;KADIKOY;HAZIRAN;0;1.01.2006
2009;KADIKOY;HAZIRAN;0;1.01.2009
1998;KARTAL;OCAK;0;1.01.1998
1999;KARTAL;OCAK;0;1.01.1999
2000;KARTAL;OCAK;0;1.01.2000
2001;KARTAL;OCAK;0;1.01.2001
2002;KARTAL;OCAK;0;1.01.2002
2003;KARTAL;OCAK;0;1.01.2003
2004;KARTAL;OCAK;0;1.01.2004
2005;KARTAL;OCAK;0;1.01.2005
2006;KARTAL;OCAK;0;1.01.2006
2007;KARTAL;OCAK;0;1.01.2007
2008;KARTAL;OCAK;0;1.01.2008
2012;KARTAL;OCAK;0;1.01.2012
2013;KARTAL;OCAK;0;1.01.2013
2014;KARTAL;OCAK;0;1.01.2014
1998;KARTAL;SUBAT;0;1.01.1998
2000;KARTAL;SUBAT;0;1.01.2000
2002;KARTAL;SUBAT;0;1.01.2002
2004;KARTAL;SUBAT;0;1.01.2004
2005;KARTAL;SUBAT;0;1.01.2005
2006;KARTAL;SUBAT;0;1.01.2006
2007;KARTAL;SUBAT;0;1.01.2007
2008;KARTAL;SUBAT;0;1.01.2008
2009;KARTAL;SUBAT;0;1.01.2009
2012;KARTAL;SUBAT;0;1.01.2012
2015;KARTAL;SUBAT;0;1.01.2015
2017;KARTAL;SUBAT;0;1.01.2017
1998;KARTAL;MART;0;1.01.1998
1999;KARTAL;MART;0;1.01.1999
